doc_id,chain_id,animacy,character,canonical_name,mentions,role,confidence,notes
Novel7,1,1,1,"Nino , who had followed Hedwig closely","Nino | a man for great emergencies | he | he | he | him | he | I | my | I | you | You | Nino | Nino | Nino | Nino | Nino | Nino | His | He | he | Nino | his | Nino | he | him grave | He | Nino | I | I | I | him | Nino | you | me | Nino | me | Nino | he | Nino | his | his | he | he | his | my | he | he | his | Nino 's | him | Nino 's | Nino | his | his | he | his | his | Nino | Nino , boldly , `` when you required of your daughter to marry such a man as Benoni | Nino | Nino | Nino | his | his | he | he | I | me | I | I | I | I | me | I | my | my | I | my | my | I | me | I | I | I | my | I | I | me | I | me | I | myself | I | I | Nino | Nino | him | Nino , who had followed Hedwig closely | Nino | his | his | I | Nino soothingly | I | Nino | you | he | Nino | him",Hero,,
Novel7,2,0,0,"De Pretis , who was really responsible for the whole thing","De Pretis , who was really responsible for the whole thing",,,
Novel7,3,0,0,the whole thing,the whole thing,,,
Novel7,4,0,0,great emergencies,great emergencies,,,
Novel7,5,1,0,some of his best singers,some of his best singers,,,
Novel7,6,1,0,That,I | you | you | you | you | I | I | me | me | me | I | I | That | I | I | my,,,
Novel7,7,0,0,his best singers,his best singers,,,
Novel7,8,0,0,the unwelcome visitor,the unwelcome visitor,,,
Novel7,9,1,0,St. Peter and St. John on the Lateran,St. Peter and St. John on the Lateran,,,
Novel7,10,1,0,St. John on the Lateran,St. John on the Lateran,,,
Novel7,11,0,0,a face like marble,a face like marble,,,
Novel7,12,0,0,the Lateran,the Lateran,,,
Novel7,13,0,0,a mass over the two,a mass over the two,,,
Novel7,14,0,0,the room when the old count so clearly stated his opinion,the room | the room | the room | the room | the room when the old count so clearly stated his opinion,,,
Novel7,15,1,1,the wealthy banker of St. Petersburg,Benoni | Baron Benoni | Benoni | him | he | I | me | I | I | I | I | myself | Baron Benoni | the wealthy banker of St. Petersburg,Villain,,
Novel7,16,0,0,our good Mother Church,our good Mother Church,,,
Novel7,17,0,0,a low voice,a low voice,,,
Novel7,18,1,0,my wife,my wife,,,
Novel7,19,0,0,those two hearts that never knew love save for each other,those two hearts that never knew love save for each other,,,
Novel7,20,0,0,each other,each other,,,
Novel7,21,0,0,an entrance,an entrance,,,
Novel7,22,1,1,Signor Cardegna,Signor Cardegna | Signor Cardegna | Signor Cardegna | Signor Cardegna | you the fullest demonstration,Ally,,
Novel7,23,0,0,"a sort of pitying curiosity as he made this speech : -- `` Do not fear , Signor Cardegna","a sort of pitying curiosity as he made this speech : -- `` Do not fear , Signor Cardegna",,,
Novel7,24,0,0,a sort of pitying curiosity as he made this speech : -- `` Do not fear,a sort of pitying curiosity as he made this speech : -- `` Do not fear,,,
Novel7,25,0,0,curiosity as he made this speech : -- `` Do not fear,curiosity as he made this speech : -- `` Do not fear,,,
Novel7,26,1,0,you,you,,,
Novel7,27,0,0,this speech,this speech,,,
Novel7,28,1,1,"`` Dear Signor Grandi , ''","Signor Grandi | him | `` Dear Signor Grandi , '' | Dear Signor Grandi | Signor Grandi | Signor Grandi",Ally,,
