doc_id,chain_id,animacy,character,canonical_name,mentions,role,confidence,notes
Novel17,1,0,0,Cumbrian,Cumbrian,,,
Novel17,2,0,0,the height of a Cumbrian summer,It | the height of a Cumbrian summer,,,
Novel17,3,0,0,a Cumbrian summer,a Cumbrian summer,,,
Novel17,4,0,0,Bracken Mere,Bracken Mere | the mere | the mere,,,
Novel17,5,0,0,a sheet of glass,a sheet of glass,,,
Novel17,6,0,0,The hills,The hills,,,
Novel17,7,0,0,the summits,the summits,,,
Novel17,8,0,0,their clear outlines,their clear outlines,,,
Novel17,9,0,0,their,their,,,
Novel17,10,0,0,The sky,the sky | The sky | itself,,,
Novel17,11,0,0,one,one,,,
Novel17,12,0,0,one long scarf of plaited white,one long scarf of plaited white,,,
Novel17,13,0,0,plaited white,plaited white,,,
Novel17,14,0,0,a lake of blue,a lake of blue,,,
Novel17,15,0,0,blue,blue,,,
Novel17,16,0,0,The ghyll,The ghyll,,,
Novel17,17,0,0,a furled flag,a furled flag,,,
Novel17,18,0,0,The thin river under the clustering leaves,The thin river under the clustering leaves | its,,,
Novel17,19,0,0,the clustering leaves,the clustering leaves,,,
Novel17,20,0,0,its breath,its breath,,,
Novel17,21,0,0,The sun,The sun | the sun | the sun,,,
Novel17,22,0,0,the air,the air,,,
Novel17,23,0,0,the hum of insects,the hum of insects,,,
Novel17,24,0,0,insects,insects,,,
Novel17,25,0,0,Moss,Moss,,,
Novel17,26,1,0,the meadow between the old house on the Moss and the pack-horse road in front of it,full of happy people | the meadow between the old house on the Moss and the pack-horse road in front of it | the full,,,
Novel17,27,1,0,happy people,happy people,,,
Novel17,28,0,0,the old house on the Moss and the pack-horse road in front of it,the old house on the Moss and the pack-horse road in front of it,,,
Novel17,29,0,0,the day of the Wythburn sports,the old house on the Moss | it | It | the day of the Wythburn sports | the house on the Moss,,,
Novel17,30,0,0,the Moss,the Moss | the Moss,,,
Novel17,31,0,0,the pack-horse road in front of it,the pack-horse road in front of it,,,
Novel17,32,0,0,front of it,front of it,,,
Novel17,33,0,0,Wythburn,Wythburn | Wythburn,,,
Novel17,34,0,0,the Wythburn sports,the Wythburn sports | The sports,,,
Novel17,35,0,0,this year,this year | it,,,
Novel17,36,0,0,Shoulthwaite,Shoulthwaite,,,
Novel17,37,1,1,more resplendent in those Chapel-Sunday garments with which,"Branthwaite | her | her | Mattha Branthwaite | more resplendent in those Chapel-Sunday garments with which | Liza Branthwaite | Liza Branthwaite | Mattha Branthwaite , coming in | Mattha Branthwaite",Ally,,
Novel17,38,0,0,Tents,Tents,,,
Novel17,39,0,0,out-of-the-way corners of the field,out-of-the-way corners of the field,,,
Novel17,40,0,0,the field,the field | the field | the field,,,
Novel17,41,1,0,Mrs. Branthwaite,Mrs. Branthwaite,,,
Novel17,42,0,0,her meek face,her meek face,,,
Novel17,43,0,0,the hospitality of the Shoulthwaite household,the hospitality of the Shoulthwaite household,,,
Novel17,44,0,0,the Shoulthwaite household,the Shoulthwaite household,,,
Novel17,45,0,0,This,This,,,
Novel17,46,1,0,her husband,her husband | his | he,,,
Novel17,47,0,0,a twinkle in his eyes and a sensation of liquidity,a twinkle in his eyes and a sensation of liquidity,,,
Novel17,48,0,0,a twinkle in his eyes,a twinkle in his eyes,,,
Novel17,49,0,0,his eyes,his eyes | her eyes,,,
Novel17,50,0,0,a sensation of liquidity,a sensation of liquidity,,,
Novel17,51,0,0,the lips,the lips,,,
Novel17,52,0,0,the outspread tables,the outspread tables,,,
Novel17,53,0,0,those Chapel-Sunday garments with which,those Chapel-Sunday garments with which,,,
Novel17,54,0,0,"the perversity of the old weaver 's unorthodox heart , that auspicious day was not often honored","the perversity of the old weaver 's unorthodox heart , that auspicious day was not often honored",,,
Novel17,55,0,0,"the old weaver 's unorthodox heart , that auspicious day was not often honored","the old weaver 's unorthodox heart , that auspicious day was not often honored",,,
Novel17,56,0,0,the old weaver 's unorthodox heart,the old weaver 's unorthodox heart | the heart,,,
Novel17,57,1,1,the old weaver 's,the old weaver 's | the old weaver | the weaver 's | the weaver 's,Ally,,
Novel17,58,0,0,auspicious day,auspicious day,,,
Novel17,59,1,1,Mrs. Ray 's,Mrs. Ray | her | her | Her | Mrs. Ray 's | her | Mrs. Ray 's | she | her | Mrs. Ray | Mrs. Ray,Ally,,
Novel17,60,0,0,her chair,her chair,,,
Novel17,61,1,0,her stalwart sons,her stalwart sons,,,
Novel17,62,0,0,Her dear old face,Her dear old face,,,
Novel17,63,0,0,Folks,Folks | them | folks,,,
Novel17,64,0,0,the paralysis,the paralysis,,,
Novel17,65,0,0,"Mattha himself , who never at any time took a melancholy view of his old neighbor 's seizure","Mattha himself , who never at any time took a melancholy view of his old neighbor 's seizure | her | her | she",,,
Novel17,66,1,0,Mattha himself,Mattha himself | his | his | he,,,
