doc_id,chain_id,animacy,character,canonical_name,mentions,role,confidence,notes
Novel24,1,0,0,SUPREME SPIRIT OF LIGHT,"SUPREME SPIRIT OF LIGHT | a SPIRIT , and they | a SPIRIT",,,
Novel24,2,0,0,The `` Electric Principle of Christianity '',The `` Electric Principle of Christianity '',,,
Novel24,3,0,0,a Divine Truth,Christianity | This truth | Christianity | It | a notable fact | Christianity | Christianity | a Divine Truth | the truth of it | Christianity,,,
Novel24,4,0,0,"God -- that is , He seeks portions of His own essence among His creatures","God , or the SUPREME SPIRIT OF LIGHT | they | He | God of God , LIGHT OF LIGHT | God | God -- that is , He seeks portions of His own essence among His creatures | He | His | His | God | God | first that God | His | God | God",,,
Novel24,5,1,1,a Shape of pure Electric Radiance,God | He | God | Him | He | a Shape of pure Electric Radiance | God | He | His | God | God | God | God | His Being | God | Him | Himself | God | Himself | Him | He | He | He | Him | He | His | He | His | Him | God | God 's | His | God 's | God 's | God | God | Himself | His | God 's | Him | His | His | God | He | He | He | Himself | God | God,,,"God, religious"
Novel24,6,0,0,the SUPREME SPIRIT OF LIGHT,the SUPREME SPIRIT OF LIGHT,,,
Novel24,7,0,0,This,This | this,,,
Novel24,8,0,0,the New Testament,the New Testament | the New Testament,,,
Novel24,9,0,0,worship Him,worship Him,,,
Novel24,10,1,0,Him,Him,,,
Novel24,11,0,0,pure Electric Radiance,pure Electric Radiance,,,
Novel24,12,0,0,Those who may be inclined to doubt this,Those who may be inclined to doubt this | they | their | they | THOSE | Those who hold that this Earth of ours was once self-luminous | they | them | Those who love and believe in God and Spiritual Beauty,,,
Novel24,13,0,0,the Scriptures on which they pin their faith,the Scriptures on which they pin their faith | Scripture | Scripture,,,
Novel24,14,0,0,their faith,their faith,,,
Novel24,15,0,0,the Deity there chronicled,the Deity there chronicled,,,
Novel24,16,0,0,electric in character,electric in character | this electric | IT | it,,,
Novel24,17,0,0,a poet,a poet | He,,,
Novel24,18,0,0,"poems , or a musician melodies","poems , or a musician melodies",,,
Novel24,19,0,0,poems,poems,,,
Novel24,20,0,0,a musician melodies,a musician melodies,,,
Novel24,21,0,0,a Thought,a Thought | it,,,
Novel24,22,0,0,"the Vast Central Sphere in which He dwells , and peopled it with the pure creations of His glorious fancy","the Vast Central Sphere in which He dwells , and peopled it with the pure creations of His glorious fancy | the Central Sphere | the Central Sphere | THE CENTRAL SPHERE | the Central Sphere | the Central Sphere | the Central Sphere | its | the Central Sphere | Central Sphere | the huge Central Sphere",,,
Novel24,23,0,0,the pure creations of His glorious fancy,the pure creations of His glorious fancy,,,
Novel24,24,0,0,His glorious fancy,His glorious fancy,,,
Novel24,25,0,0,the power or capacity of Love,the power or capacity of Love,,,
Novel24,26,0,0,Divine Love,Love | Divine Love,,,
Novel24,27,0,0,the necessity of Loving ; the necessity of loving points to the existence of things to be loved -- hence the secret of creation,the necessity of Loving ; the necessity of loving points to the existence of things to be loved -- hence the secret of creation,,,
Novel24,28,0,0,Loving,Loving,,,
Novel24,29,0,0,the necessity of loving points to the existence of things to be loved -- hence the secret of creation,the necessity of loving points to the existence of things to be loved -- hence the secret of creation,,,
Novel24,30,0,0,loving points to the existence of things to be loved,loving points to the existence of things to be loved,,,
Novel24,31,0,0,the existence of things to be loved,the existence of things to be loved,,,
Novel24,32,0,0,things to be loved,things to be loved,,,
Novel24,33,0,0,hence the secret of creation,hence the secret of creation,,,
Novel24,34,0,0,the ever-working Intelligence of this,the ever-working Intelligence of this,,,
Novel24,35,0,0,this,this | they,,,
Novel24,36,0,0,the Electric Circle of the Universe,the Electric Circle of the Universe,,,
Novel24,37,0,0,the Universe,the Universe | the Universe | the Universe,,,
Novel24,38,0,0,whence are born all worlds,whence are born all worlds,,,
Novel24,39,1,1,the ancient poets of Scripture when they wrote,the ancient poets of Scripture when they wrote | the poets | their | they | their | us | our,,,"God, religious"
Novel24,40,0,0,the face of the deep,the face of the deep,,,
Novel24,41,0,0,the deep,the deep,,,
Novel24,42,0,0,the Spirit of God,the Spirit of God,,,
Novel24,43,0,0,the face of the waters,the face of the waters,,,
Novel24,44,0,0,the waters,the waters,,,
Novel24,45,0,0,These words,These words,,,
Novel24,46,0,0,the creation or production of OUR OWN EARTH,the creation or production of OUR OWN EARTH | His creation,,,
Novel24,47,0,0,this Earth of ours,OUR OWN EARTH | the Earth | Earth 's | its | Earth | the Earth | its | Earth | the Earth | Earth | Earth | this Earth | Earth | Earth | Earth | our Earth | Earth | Earth | Earth | that | it | It | this Earth of ours | it | Earth,,,
Novel24,48,1,0,our,them | us | us | our,,,
Novel24,49,1,0,we,we | we,,,
Novel24,50,0,0,a simple manifestation of electricity,a simple manifestation of electricity,,,
Novel24,51,0,0,a HEATING PASSAGE OF RAYS,a HEATING PASSAGE OF RAYS | it,,,
Novel24,52,0,0,RAYS,RAYS,,,
Novel24,53,0,0,the Central Circle,the Central Circle,,,
Novel24,54,0,0,"the planet newly propelled forth from it , which caused that planet to produce and multiply the wonders of the animal , vegetable , and mineral kingdoms which we call Nature","the planet newly propelled forth from it , which caused that planet to produce and multiply the wonders of the animal , vegetable , and mineral kingdoms which we call Nature | this planet",,,
Novel24,55,0,0,"the wonders of the animal , vegetable , and mineral kingdoms which we call Nature","the wonders of the animal , vegetable , and mineral kingdoms which we call Nature | wonders",,,
Novel24,56,0,0,"the animal , vegetable , and mineral kingdoms","the animal , vegetable , and mineral kingdoms | animal , vegetable , and mineral",,,
Novel24,57,1,0,the animal,the animal,,,
Novel24,58,0,0,mineral kingdoms,mineral kingdoms,,,
Novel24,59,0,0,Nature,Nature,,,
Novel24,60,0,0,the poet-prophets of Scripture,the poet-prophets of Scripture,,,
Novel24,61,0,0,His image,our image | His image | image completely out,,,
Novel24,62,0,0,The word ` OUR ',The word ` OUR ',,,
Novel24,63,0,0,This idea,an instinctive idea | This idea | this idea,,,
Novel24,64,0,0,a chaos,a chaos,,,
Novel24,65,1,0,God by the sheer necessity of His Being,God by the sheer necessity of His Being | His | Himself | He | He | His ` LIKENESS ',,,
Novel24,66,0,0,the sheer necessity of His Being,the sheer necessity of His Being,,,
Novel24,67,0,0,radiant and immortal Spirits emanating from His own creative glory -- beings in whom all beauty and all purity are found,radiant and immortal Spirits emanating from His own creative glory -- beings in whom all beauty and all purity are found,,,
Novel24,68,0,0,His own creative glory -- beings in whom all beauty and all purity are found,His own creative glory -- beings in whom all beauty and all purity are found,,,
Novel24,69,0,0,beings in whom all beauty and all purity are found,beings in whom all beauty and all purity are found,,,
Novel24,70,0,0,only the IMAGES,IMAGES | only the IMAGES,,,
Novel24,71,0,0,"the IMAGES , therefore -LRB- only the IMAGES -RRB-","the IMAGES , therefore -LRB- only the IMAGES -RRB-",,,
Novel24,72,0,0,the IMAGES,the IMAGES,,,
Novel24,73,1,0,these Children of Light,these Children of Light,,,
Novel24,74,0,0,"beings composed of Earth 's component parts , animal , vegetable , and mineral , giving them their superiority by placing within them His ` LIKENESS ' in the form of an ELECTRIC FLAME or GERM of spiritual existence combined with its companion working-force of WILL-POWER","beings composed of Earth 's component parts , animal , vegetable , and mineral , giving them their superiority by placing within them His ` LIKENESS ' in the form of an ELECTRIC FLAME or GERM of spiritual existence combined with its companion working-force of WILL-POWER",,,
Novel24,75,0,0,beings composed of Earth 's component parts,beings composed of Earth 's component parts | them | their | them,,,
Novel24,76,0,0,Earth 's component parts,Earth 's component parts,,,
Novel24,77,0,0,"animal , vegetable , and mineral , giving them their superiority by placing within them His ` LIKENESS ' in the form of an ELECTRIC FLAME","animal , vegetable , and mineral , giving them their superiority by placing within them His ` LIKENESS ' in the form of an ELECTRIC FLAME",,,
Novel24,78,0,0,their superiority,their superiority,,,
Novel24,79,0,0,His ` LIKENESS ' in the form of an ELECTRIC FLAME,His ` LIKENESS ' in the form of an ELECTRIC FLAME,,,
Novel24,80,0,0,the form of an ELECTRIC FLAME,the form of an ELECTRIC FLAME,,,
Novel24,81,0,0,an ELECTRIC FLAME,an ELECTRIC FLAME,,,
Novel24,82,0,0,GERM of spiritual existence combined with its companion working-force of WILL-POWER,GERM of spiritual existence combined with its companion working-force of WILL-POWER,,,
Novel24,83,0,0,its companion working-force of WILL-POWER,its companion working-force of WILL-POWER,,,
Novel24,84,0,0,a fire,a fire,,,
Novel24,85,0,0,CAN NEVER,CAN NEVER | he,,,
Novel24,86,0,0,"a living Spiritual Form of absolute beauty -- an immortal creature of thought , memory , emotion , and working intelligence","a living Spiritual Form of absolute beauty -- an immortal creature of thought , memory , emotion , and working intelligence",,,
Novel24,87,0,0,"an immortal creature of thought , memory , emotion","an immortal creature of thought , memory , emotion",,,
Novel24,88,0,0,"thought , memory , emotion","thought , memory , emotion",,,
Novel24,89,0,0,working intelligence,working intelligence,,,
Novel24,90,0,0,IT DWELLS,the contrary | its | it | it | IT DWELLS,,,
Novel24,91,0,0,its companion,its companion | its companion,,,
Novel24,92,0,0,the weight of Earth,the weight of Earth,,,
Novel24,93,0,0,earthly aims,earthly aims,,,
Novel24,94,0,0,other chances of development in OTHER FORMS,other chances of development in OTHER FORMS,,,
Novel24,95,0,0,development in OTHER FORMS,development in OTHER FORMS,,,
Novel24,96,0,0,OTHER FORMS,OTHER FORMS,,,
Novel24,97,0,0,OTHER PLANETS,OTHER PLANETS | planets,,,
Novel24,98,0,0,the body it leaves,the body it leaves,,,
Novel24,99,0,0,"THE EARTH ON WHICH IT DWELLS , becomes a mere lump of clay ANIMATED BY MERE","THE EARTH ON WHICH IT DWELLS , becomes a mere lump of clay ANIMATED BY MERE",,,
Novel24,100,0,0,a mere lump of clay ANIMATED BY MERE,a mere lump of clay ANIMATED BY MERE,,,
Novel24,101,0,0,clay ANIMATED BY MERE,clay ANIMATED BY MERE | our clay,,,
Novel24,102,0,0,"ANIMAL LIFE SOLELY , full of inward ignorance and corruption and outward incapacity","ANIMAL LIFE SOLELY , full of inward ignorance and corruption and outward incapacity",,,
Novel24,103,0,0,ANIMAL LIFE SOLELY,ANIMAL LIFE SOLELY | full of inward ignorance and corruption and outward incapacity,,,
Novel24,104,0,0,"the majority of men composed BY THEIR OWN FREE-WILL AND CHOICE , because they habitually deaden the voice of conscience and refuse to believe in the existence of a spiritual element within and around them","the majority of men composed BY THEIR OWN FREE-WILL AND CHOICE , because they habitually deaden the voice of conscience and refuse to believe in the existence of a spiritual element within and around them",,,
Novel24,105,0,0,"men composed BY THEIR OWN FREE-WILL AND CHOICE , because they habitually deaden the voice of conscience and refuse to believe in the existence of a spiritual element within and around them","men composed BY THEIR OWN FREE-WILL AND CHOICE , because they habitually deaden the voice of conscience and refuse to believe in the existence of a spiritual element within and around them",,,
Novel24,106,0,0,THEIR OWN FREE-WILL AND CHOICE,THEIR OWN FREE-WILL AND CHOICE,,,
Novel24,107,0,0,THEIR OWN FREE-WILL,THEIR OWN FREE-WILL,,,
Novel24,108,0,0,they,they | them,,,
Novel24,109,0,0,His voice,the voice of conscience | His voice,,,
Novel24,110,0,0,the existence of a spiritual element,the existence of a spiritual element,,,
Novel24,111,0,0,a spiritual element,a spiritual element,,,
Novel24,112,0,0,one of the smallest of planets ; and not only this,one of the smallest of planets ; and not only this | this one,,,
Novel24,113,0,0,its position in the Universe,its position in the Universe,,,
Novel24,114,0,0,a less amount of direct influence from the Electric Circle than other worlds more happily situated,a less amount of direct influence from the Electric Circle than other worlds more happily situated,,,
